year,House_Hele landet,House_Region Hovedstaden,House_Landsdel Kobenhavn by,House_Kobenhavn,House_Landsdel Kobenhavns omegn,House_Region Sjælland,House_Region Syddanmark,House_Region Midtjylland,House_Region Nordjylland,Apartment_Hele landet,Apartment_Region Hovedstaden,Apartment_Landsdel Kobenhavn by,Apartment_Kobenhavn,Apartment_Landsdel Kobenhavns omegn,Apartment_Region Sjælland,Apartment_Region Syddanmark,Apartment_Region Midtjylland,Apartment_Region Nordjylland,Esbjerg_apart,S&P500_close,gold_usd_oz,House_Kolding,House_Esbjerg,House_Fredericia,House_Vejle,House_Region Hovedstaden,Apartment_Kolding,Apartment_Esbjerg,Apartment_Fredericia,Apartment_Vejle,Apartment_Region Hovedstaden
1992,3945,5649,5664,5171,5889,3788,3521,3770,3060,5443,5907,5825,5638,6420,5197,4711,5388,4440,4411,416,344,4041,4289,3873,4026,5649,4305,4411,3325,4943,5907
1993,4301,6108,5825,5519,6396,4217,3861,3973,3394,5609,5945,5666,5417,6585,5380,4720,5848,4872,4771,452,360,4720,4545,4373,4416,6108,4314,4771,3366,4849,5945
1994,4403,6343,5822,5328,6696,4148,3958,4148,3534,5672,5958,5601,5252,6692,5276,4882,5994,5000,5130,460,384,5200,5159,4463,4217,6343,4606,5130,3171,4204,5958
1995,4840,7114,6770,6299,7559,4565,4305,4577,3773,6067,6360,6012,5709,7057,5921,5102,6386,5393,5069,542,384,5786,5536,5110,4803,7114,5349,5069,3832,5363,6360
1996,5344,7734,7617,7227,8628,5057,4720,5090,4137,6631,6946,6662,6333,7655,6379,5606,7068,5688,5579,670,388,6632,5691,5368,5560,7734,5579,5579,4149,6124,6946
1997,5870,8696,9102,8520,9412,5566,5244,5464,4347,7648,8243,8077,7708,8657,6672,6122,7836,6809,6036,873,331,6880,5999,6004,6330,8696,5668,6036,4566,6761,8243
1998,6344,9798,10412,9762,10604,6074,5587,5864,4630,8773,9690,9734,9475,9805,7723,6747,8318,7486,6486,1086,294,7668,7027,6575,6774,9798,7233,6486,4921,6851,9690
1999,6846,10683,11477,11078,11655,6588,5879,6173,4908,9958,11390,11511,11172,11283,8206,6783,9115,8339,6352,1327,279,7636,6935,6748,6540,10683,6973,6352,4411,8061,11390
2000,7352,11551,12820,12562,12437,7108,6053,6431,5326,11012,12906,13269,13035,12634,8989,7102,9187,8490,7099,1427,279,8367,7258,7249,7191,11551,7431,7099,5591,6209,12906
2001,7550,12345,13866,13422,13370,7700,6153,6438,5128,12286,14892,15526,15254,14502,10270,7842,9615,8598,7118,1194,271,8460,6992,7511,7544,12345,8279,7118,5455,8712,14892
2002,7794,13181,14421,14191,14545,7956,6203,6694,5417,13105,16044,16716,16501,15794,10853,7996,10265,8731,7327,994,310,8817,6940,7083,7228,13181,9062,7327,5538,8728,16044
2003,8312,13799,15216,15715,14978,8665,6409,7126,5597,14176,17028,17823,17665,16524,11832,8757,11467,9311,8016,965,364,9210,7436,7715,7777,13799,9191,8016,7275,9605,17028
2004,9354,16104,18492,18771,17627,9434,7123,7965,5962,16390,19805,21230,21083,18715,13127,9998,13818,10128,9074,1131,409,9623,8524,8536,8616,16104,11294,9074,8973,9720,19805
2005,11493,21344,24971,25553,23730,11615,8050,9620,6654,21269,26956,29681,29501,24796,15334,12022,16921,11677,10807,1207,445,11801,10489,8913,10496,21344,12019,10807,8655,11750,26956
2006,13408,24709,28171,29214,26470,13908,9398,11078,7843,22928,28341,29840,29282,27422,17975,13827,18791,13508,12769,1310,604,13278,12209,11692,12702,24709,15390,12769,11505,14483,28341
2007,13503,23013,25698,25853,24692,13730,10461,11593,8343,21044,24999,26287,25840,24274,17538,14719,17907,13319,12823,1477,697,14186,12250,13101,13950,23013,16580,12823,12369,14957,24999
2008,12198,19044,22416,22342,20426,12141,10016,11018,8446,18093,20642,21541,21232,20403,15013,14129,16422,12571,13776,1220,872,13476,12973,11887,12891,19044,15550,13776,10946,14213,20642
2009,11736,18425,21510,22090,20045,11065,9727,10757,8340,17815,20459,21935,21530,19062,13846,13507,16499,12825,11687,948,973,12907,12105,11260,12894,18425,15934,11687,11157,13012,20459
2010,11930,19890,24074,24357,22076,10741,9534,10881,8280,18463,21624,23717,23252,19990,13772,13351,17187,12113,11741,1140,1225,12616,10640,11361,12610,19890,12488,11741,12757,12149,21624
2011,11145,18189,22199,22525,20378,9960,9007,10371,7857,17441,20098,22868,22269,17508,12039,12457,16846,13153,11254,1268,1569,11184,10208,10297,10544,18189,10297,11254,11272,12057,20098
2012,10931,18371,22712,22932,20628,9343,8568,10277,7823,18171,21188,24135,23457,18038,12290,13331,17081,13350,11644,1379,1670,11657,11450,10546,10578,18371,15782,11644,8640,14750,21188
2013,11082,19098,25098,25883,21362,9256,8586,10359,7839,19441,23474,27177,26459,20267,12668,13084,17063,13747,11979,1644,1411,11761,10649,9676,9962,19098,14617,11979,8829,10428,23474
2014,11285,19914,27015,27951,22735,9346,8597,10317,8106,20470,24887,28856,27922,21110,12909,12709,18394,14505,12901,1931,1266,11775,12658,9850,10688,19914,12118,12901,8373,12240,24887
2015,12026,21803,29150,29875,25042,10060,8892,10938,8292,22719,28300,32827,31895,24224,13531,13568,19549,15176,13637,2061,1161,12650,11708,9848,12146,21803,16355,13637,9844,14074,28300
2016,12529,22933,30244,30752,26562,10672,9240,11093,8666,24535,30926,36060,35249,26264,14795,14210,20569,16437,14038,2095,1249,11925,13542,10798,11471,22933,13300,14038,10573,14013,30926
2017,13179,24364,33494,34013,27767,11398,9457,11460,9440,26627,33957,39820,39182,28739,16298,15011,21728,17239,16353,2449,1258,12940,12174,10651,12578,24364,12688,16353,10958,17209,33957
2018,13638,25452,35554,37494,28803,11844,9839,12009,8943,27291,34647,40008,39558,29877,17087,16458,22376,17068,15224,2746,1269,13420,14102,11821,12076,25452,16068,15224,12151,17041,34647
2019,14176,26429,37224,38894,29668,12283,10299,12375,9462,28256,35879,41169,40769,30936,17714,17610,22873,17793,17877,2913,1392,13888,14349,11866,13322,26429,15208,17877,15564,18071,35879
2020,15076,28864,40094,42173,33133,13099,10593,13169,9574,30671,39450,45705,44876,33142,19036,17605,25293,18275,16756,3218,1770,15024,15341,11193,14125,28864,16563,16756,12986,18265,39450
2021,16528,33317,46257,47726,38095,14510,11225,13838,9737,33533,43762,50960,49926,35730,20030,18505,27130,18320,18651,4273,1800,15181,15992,12936,14747,33317,14750,18651,14974,17048,43762
2022,15709,30890,42344,45821,35284,13794,10744,13409,9683,31442,40301,46442,45474,33832,19028,17041,25443,18674,18523,4099,1801,15158,14957,12294,14217,30890,15100,18523,11753,17386,40301
2023,16163,32247,45580,48146,35996,13891,11220,13758,9496,33932,43779,51187,50567,34921,21392,19432,26788,18086,17309,4284,1943,14031,16626,12908,14169,32247,16125,17309,13534,20104,43779
2024,17232,34818,50430,54134,38957,15002,11494,14192,10201,35367,46970,55542,54603,37071,22053,18791,26317,17686,17247,5428,2388,14436,15983,12667,14851,34818,15042,17247,13274,18187,46970
